Statistic	E. siliculosus	U. pinnatifida	M. pyrifera	S. japonica	All
Average n homologous scaffolds mapped per chromosome	31.57	31.03	18.18	35.09	26.94
SD n homologous scaffolds mapped per chromosome	11.38	16.71	15.5	60.59	31.23
Maximum n homologous scaffolds mapped per chromosome	74	60	57	362	362
Minimum n homologous scaffolds mapped per chromosome	16	1	1	6	1
Total n homologous scaffolds mapped	884	1024	1091	1123	4122
Average length of homologous scaffolds (Mb) per chromosome	19	17.77	10.11	19.17	15.28
SD length of homologous scaffolds (Mb) per chromosome	6.95	8.62	8.34	20.77	12.52
Maximum length of homologous scaffolds (Mb) per chromosome	35.04	34.66	28.4	126.18	126.18
Minimum length of homologous scaffolds (Mb) per chromosome	7.07	0.03	0.03	4.21	0.03
Total length of homologous scaffolds (Mb)	531.98	586.3	606.34	613.38	2338
Average exact matches (Mb) per chromosome	0.62	1.07	1.52	5.68	2.13
SD exact matches (Mb) per chromosome	0.38	0.74	1.39	5.7	3.31
Average exact matches (%) per chromosome	9.32	6.76	18.92	41.14	19.19
Maximum exact matches (Mb) per chromosome	1.77	2.52	5.07	35.36	35.36
Minimum exact matches (Mb) per chromosome	0.21	0	0.01	1.68	0
Total exact matches (Mb)	17.24	35.36	90.93	181.89	325.43
