query	target	index	qName	tName	qNum	tNum	qSize	tSize	total_matches	qPercent	tPercent
Ectocarpus_siliculosus	Macrocystis_pyrifera	25	chr_24	scaffold_25	24	25	4987672	11971141	362726	0.0727245095507483	0.0303000357275885
Ectocarpus_siliculosus	Macrocystis_pyrifera	2	chr_13	scaffold_2	13	2	6936267	22011584	11518	0.00166054738088946	0.000523269929142764
Ectocarpus_siliculosus	Macrocystis_pyrifera	23	chr_16	scaffold_23	16	23	5337654	12493549	620587	0.116265872609952	0.0496725950328446
Ectocarpus_siliculosus	Macrocystis_pyrifera	16	chr_09	scaffold_16	9	16	5613161	13669674	431651	0.0768998074347057	0.0315772709722266
Ectocarpus_siliculosus	Macrocystis_pyrifera	9	chr_04	scaffold_9	4	9	6511851	16050853	756216	0.116129192759478	0.0471137577548059
Ectocarpus_siliculosus	Macrocystis_pyrifera	1	chr_08	scaffold_1	8	1	6697066	26510325	640057	0.0955727478271828	0.0241436874123573
Ectocarpus_siliculosus	Macrocystis_pyrifera	1	chr_18	scaffold_1	18	1	4926557	26510325	377138	0.0765520423289531	0.0142260798387044
Ectocarpus_siliculosus	Macrocystis_pyrifera	10	chr_19	scaffold_10	19	10	5970688	15677919	639512	0.10710859452043	0.04079061768338
Ectocarpus_siliculosus	Macrocystis_pyrifera	21	chr_28	scaffold_21	28	21	3789020	12554396	179727	0.0474336371937863	0.01431586194987
Ectocarpus_siliculosus	Macrocystis_pyrifera	30	chr_26	scaffold_30	26	30	6583348	8948866	420664	0.06389818675847	0.0470075202824581
Ectocarpus_siliculosus	Macrocystis_pyrifera	27	chr_02	scaffold_27	2	27	6527791	11304460	448347	0.0686828055616364	0.0396610718247488
Ectocarpus_siliculosus	Macrocystis_pyrifera	27	chr_20	scaffold_27	20	27	5156421	11304460	275880	0.0535022256716432	0.0244045270627699
Ectocarpus_siliculosus	Macrocystis_pyrifera	26	chr_10	scaffold_26	10	26	6500985	11897536	782424	0.120354684713163	0.0657635328861371
Ectocarpus_siliculosus	Macrocystis_pyrifera	13	chr_01	scaffold_13	1	13	10318834	14333966	1104758	0.107062290177359	0.0770727375800947
Ectocarpus_siliculosus	Macrocystis_pyrifera	19	chr_25	scaffold_19	25	19	4450938	12693160	306449	0.068850431077674	0.0241428454380154
Ectocarpus_siliculosus	Macrocystis_pyrifera	12	chr_23	scaffold_12	23	12	4839467	14415564	334045	0.0690251633082734	0.023172523808295
Ectocarpus_siliculosus	Macrocystis_pyrifera	28	chr_00	scaffold_28	0	28	18946431	10916434	184688	0.00974790449979735	0.0169183453131306
Ectocarpus_siliculosus	Macrocystis_pyrifera	28	chr_27	scaffold_28	27	28	6449907	10916434	615565	0.095437810188581	0.0563888354017438
Ectocarpus_siliculosus	Macrocystis_pyrifera	11	chr_05	scaffold_11	5	11	9103504	14897264	303581	0.0333477087503889	0.0203783057076789
Ectocarpus_siliculosus	Macrocystis_pyrifera	5	chr_06	scaffold_5	6	5	8757758	18839236	1435272	0.163885779899376	0.0761852550708532
Ectocarpus_siliculosus	Macrocystis_pyrifera	7	chr_14	scaffold_7	14	7	6560428	16461834	1316193	0.200626087200408	0.0799542140930348
Ectocarpus_siliculosus	Macrocystis_pyrifera	22	chr_15	scaffold_22	15	22	5398253	12538685	355740	0.0658990973561261	0.0283713962030309
Ectocarpus_siliculosus	Macrocystis_pyrifera	4	chr_11	scaffold_4	11	4	6289658	19376333	709555	0.112812970116976	0.036619674114808
